epoch,train_loss,train_acc,val_loss,val_acc
1,0.3288,0.8646,0.305,0.8917
2,0.1799,0.9417,0.0304,0.9917
3,0.0225,0.9948,0.0139,0.9958
4,0.0544,0.9865,0.0654,0.9875
5,0.0374,0.9906,0.0308,0.9875
6,0.0407,0.9865,0.0016,1.0
7,0.0031,1.0,0.0039,1.0
8,0.0009,1.0,0.0061,0.9958
9,0.013,0.9969,0.0056,1.0
10,0.0017,1.0,0.0488,0.9792
11,0.0663,0.9802,0.0415,0.9833
12,0.0812,0.9771,0.0012,1.0
13,0.0299,0.9896,0.0058,0.9958
14,0.0016,0.999,0.0,1.0
15,0.0006,1.0,0.0057,0.9958
