Noise Multiplier,F1 Score,Precision,Recall
0.0,0.8139592123769339,0.8659003831417624,0.82
1.0,0.787885166093929,0.8536752136752136,0.8
1.2,0.7539530633766149,0.8381726674409601,0.7733333333333333
1.4,0.7360314816177591,0.8299916457811194,0.76
1.5,0.7268003803277707,0.8257080610021788,0.7533333333333333
